Terrain_Aspect,Burn_Treatment,Vegetation_Type,Thermo_Mid_Max,Thermo_Low_Max,Soil_Texture,Slope_Position,Horizon_Wet_Mass_g,Moisture_Index,Horizon_Dry_Mass_g,Horizon_Thickness_cm,Core_Wet_Mass_g,Core_Dry_Mass_g,Soil_pH,Total_Carbon_Percentage,Dry_Horizon_Mass_Loss_g,Horizon_Thickness_Loss_cm,Latitude,Leading_Vegetation_Species,Longitude
NW,wet,Pinus_contorta,26.1778,27.8796,sandy loam,Middle,179.16,0.067528736,167.0615517,4.5,229.78,199.9626877,3.53,1.555209637,0,0,59.472001,Pinus_contorta,-113.5436899
NW,dry,Betula_papyrifera,346.8191,75.3435,sandy loam,Middle,218.3969402,0.061181435,205.035102,4.5,262.83,244.0138042,3.86,0.992093503,0,0,59.472004,Betula_papyrifera,-112.626523
NW,dry,Populus_tremuloides,320.5581,46.0235,sandy loam,Middle,272.98,0.069080996,291.8377303,6.5,291.54,309.8131086,3.79,1.492272258,49.34172592,0,59.47196,Populus_tremuloides,-113.1448725
SSE,dry,Populus_tremuloides,298.4965,63.9395,sand,Middle,35.21483924,0.100178891,31.6870557,5,303.95,297.290105,7.94,2.850503445,9.640670159,1.5,59.471961,Populus_tremuloides,-113.5047021
NW,wet,Abies_lasiocarpa,26.3093,26.3721,sandy loam,Lower,121.79,0.188956121,98.77703404,7,121.79,98.77703404,5.58,8.665203094,7.13702124,0.5,59.471962,Abies_lasiocarpa,-113.3455288
NW,dry,Betula_papyrifera,346.8191,75.3435,sandy loam,Middle,44.43305985,0.122754491,38.9787022,5.5,262.83,244.0138042,7.65,29.27008247,33.4429954,1.8,59.471963,Betula_papyrifera,-112.5119592
NW,dry,Picea_glauca,449.498,80.1353,sandy loam,Lower,177.8,0.127462434,155.1371792,6,177.8,155.1371792,6.76,6.724472046,27.73914828,1,59.471964,Picea_glauca,-112.5541437
NW,wet,Picea_glauca,34.0204,26.1759,sandy loam,Middle,264.9,0.043620502,253.3449291,5.5,309.43,296.6621073,3.87,2.373041391,0,0,59.471965,Picea_glauca,-112.4651559
NW,dry,Populus_tremuloides,346.8191,75.3435,sandy loam,Middle,218.3969402,0.061181435,205.035102,4.5,262.83,244.0138042,3.86,0.992093503,0,0,59.471966,Populus_tremuloides,-113.6068959
NW,dry,Abies_lasiocarpa,320.5581,46.0235,sandy loam,Middle,272.98,0.069080996,291.8377303,6.5,291.54,309.8131086,3.79,1.492272258,49.34172592,0,59.472284,Abies_lasiocarpa,-113.4740868
NW,wet,Picea_glauca,34.0204,26.1759,sandy loam,Middle,44.53,0.027236061,43.31717819,4.5,309.43,296.6621073,5.25,36.06827927,25.07027006,0.2,59.472384,Picea_glauca,-113.1212488
SSE,dry,Abies_lasiocarpa,298.4965,63.9395,sand,Middle,268.7351608,0.011655012,265.6030493,5,303.95,297.290105,5.41,0.843660414,3.613228139,0,59.472484,Abies_lasiocarpa,-113.4453451
West,wet,Betula_papyrifera,31.8064,29.3401,clay loam,Upper,363.96,0.045891932,347.2571725,6,401.08,368.2813937,4.04,0.918253005,0,0,59.472006,Betula_papyrifera,-113.3087816
NW,wet,Populus_tremuloides,26.3093,26.3721,sandy loam,Lower,121.79,0.188956121,98.77703404,7,121.79,98.77703404,5.58,8.665203094,7.13702124,0.5,59.472201,Populus_tremuloides,-112.8244016
NW,wet,Betula_papyrifera,34.0204,26.1759,sandy loam,Middle,44.53,0.027236061,43.31717819,4.5,309.43,296.6621073,5.25,36.06827927,25.07027006,0.2,59.471967,Betula_papyrifera,-113.0367585
ESE,dry,Picea_glauca,30.3138,27.6491,sandy loam,Middle,116.06,0.304609218,80.70705411,7,230.63,175.2273041,4.57,18.86455154,4.484525591,1,59.472584,Picea_glauca,-113.1117478
